Fid,CDate,Precipitation,Humidity,WindSpeed,WeatherCondition,AvgTemp,AvgTempUncertainty,City,Country,Latitude,Longitude,Season,Crop,Label
10.42.0.211-69.147.64.34-34231-443-6,01-01-22,0,64.42175047,9.562955091,Partly Cloudy,8.908,1.709,Århus,Denmark,57.05N,10.33E,Kharif     ,Peas & beans (Pulses),0
172.217.7.163-10.42.0.151-443-57281-6,02-01-22,2.988469509,85.49284323,6.502073985,Cloudy,5.637,0.921,Århus,Denmark,57.05N,10.33E,Kharif     ,Ragi,0
172.217.12.174-10.42.0.151-443-45986-6,03-01-22,0,90.45686898,3.486872986,Snow,2.242,1.175,Århus,Denmark,57.05N,10.33E,Kharif     ,Rice,0
10.42.0.211-54.239.26.255-37927-443-6,04-01-22,0,98.35244206,17.28855911,Partly Cloudy,-1.259,8.151,Århus,Denmark,57.05N,10.33E,Kharif     ,Sesamum,0
10.42.0.211-10.42.0.1-8823-53-17,05-01-22,0,89.58997176,12.80742392,Snow,-0.285,3.715,Århus,Denmark,57.05N,10.33E,Kharif     ,Soyabean,1
174.35.73.148-10.42.0.42-80-47212-6,06-01-22,7.052614703,84.39873161,15.09747435,Rain,4.21,3.695,Århus,Denmark,57.05N,10.33E,Kharif     ,Sunflower,1
157.240.18.19-10.42.0.211-443-57474-6,07-01-22,0.345379797,48.3323812,12.91079803,Cloudy,6.765,6.727,Århus,Denmark,57.05N,10.33E,Rabi       ,Gram,0
216.58.217.100-10.42.0.211-443-50271-6,08-01-22,6.769554814,76.74511699,18.2876372,Cloudy,10.65,2.308,Århus,Denmark,57.05N,10.33E,Rabi       ,Groundnut,0
10.42.0.211-10.42.0.1-50542-53-17,09-01-22,0,47.70306601,3.975530441,Partly Cloudy,14.444,3.891,Århus,Denmark,57.05N,10.33E,Rabi       ,Horse-gram,0
172.217.10.225-10.42.0.211-443-57126-6,10-01-22,0,48.46878842,10.77045799,Sunny,16.293,2.619,Århus,Denmark,57.05N,10.33E,Rabi       ,Jowar,1
219.142.78.217-10.42.0.42-80-51835-6,11-01-22,4.463498719,44.98112603,7.007736714,Partly Cloudy,15.808,8.671,Århus,Denmark,57.05N,10.33E,Rabi       ,Maize,1
10.42.0.211-10.42.0.1-60772-53-17,12-01-22,0,63.55854314,16.13849577,Cloudy,13.226,1.602,Århus,Denmark,57.05N,10.33E,Rabi       ,Moong(Green Gram),1
10.42.0.211-66.198.178.50-46615-443-6,13-01-22,9.350654974,78.04614332,17.41348627,Snow,9.529,2.69,Århus,Denmark,57.05N,10.33E,Rabi       ,Onion,1
172.217.12.174-10.42.0.151-443-49780-6,14-01-22,0,50.30682463,5.209385762,Rain,2.871,3.616,Århus,Denmark,57.05N,10.33E,Rabi       ,Peas & beans (Pulses),1
10.42.0.151-68.67.180.45-47316-443-6,15-01-22,0,79.17537824,3.42160718,Partly Cloudy,-3.228,5.421,Århus,Denmark,57.05N,10.33E,Rabi       ,Ragi,0
158.85.58.112-10.42.0.211-443-58979-6,16-01-22,0,58.85049144,1.758253514,Rain,-0.566,2.065,Århus,Denmark,57.05N,10.33E,Rabi       ,Rice,1
10.42.0.151-23.199.25.36-48968-80-6,17-01-22,0,30.74445752,18.87695679,Sunny,-0.943,4.59,Århus,Denmark,57.05N,10.33E,Rabi       ,Sunflower,0
172.217.12.170-10.42.0.42-443-47150-6,18-01-22,9.334194424,31.38505159,19.41788517,Cloudy,-0.645,4.091,Århus,Denmark,57.05N,10.33E,Rabi       ,Wheat,0
172.217.3.110-10.42.0.151-443-57678-6,19-01-22,0.20874692,63.40394886,10.15671374,Sunny,5.658,8.046,Århus,Denmark,57.05N,10.33E,Summer     ,Jowar,0
182.22.24.124-10.42.0.211-443-55174-6,20-01-22,0,62.66164578,11.59516602,Rain,12.266,3.395,Århus,Denmark,57.05N,10.33E,Summer     ,Maize,1
10.42.0.151-10.42.0.1-26408-53-17,21-01-22,3.140832876,65.73746434,11.60593131,Rain,14.835,1.596,Århus,Denmark,57.05N,10.33E,Summer     ,Onion,0
10.42.0.211-10.42.0.1-64853-53-17,22-01-22,0,86.81458358,16.95398404,Rain,15.04,3.327,Århus,Denmark,57.05N,10.33E,Summer     ,Peas & beans (Pulses),1
219.142.78.217-10.42.0.211-80-54498-6,23-01-22,2.991767954,43.79171068,1.269539453,Sunny,15.537,5.868,Århus,Denmark,57.05N,10.33E,Summer     ,Ragi,0
195.21.152.161-10.42.0.211-123-36944-17,24-01-22,0,48.72429784,4.492981778,Rain,12.023,4.118,Århus,Denmark,57.05N,10.33E,Summer     ,Rice,1
192.229.173.173-10.42.0.42-80-57015-6,25-01-22,0,60.83223672,15.54573336,Snow,9.129,1.831,Århus,Denmark,57.05N,10.33E,Summer     ,Sunflower,0
10.42.0.151-76.13.28.70-45033-443-6,26-01-22,0,60.33468865,4.123499882,Snow,4.141,2.133,Århus,Denmark,57.05N,10.33E,Whole Year ,Arecanut,1
10.42.0.42-103.43.91.17-45559-443-6,27-01-22,0,59.27103039,3.713379617,Sunny,1.45,2.848,Århus,Denmark,57.05N,10.33E,Whole Year ,Cardamom,1
172.217.10.110-10.42.0.151-443-45718-6,28-01-22,0,99.33911391,6.412027554,Partly Cloudy,-3.436,5.961,Århus,Denmark,57.05N,10.33E,Whole Year ,Coconut ,0
192.229.173.173-10.42.0.42-80-51423-6,29-01-22,0,99.98288652,5.881904519,Snow,-4.277,4.258,Århus,Denmark,57.05N,10.33E,Whole Year ,Coriander,1
10.42.0.211-113.108.216.233-40020-80-6,30-01-22,0,57.56759611,10.85223354,Partly Cloudy,0.356,5.25,Århus,Denmark,57.05N,10.33E,Whole Year ,Dry chillies,0
220.243.219.55-10.42.0.211-80-32777-6,31-01-22,0,60.0670008,14.21567642,Rain,7.591,5.079,Århus,Denmark,57.05N,10.33E,Whole Year ,Garlic,0
172.217.10.142-10.42.0.42-443-46103-17,01-02-22,0,57.1594254,5.737688011,Cloudy,10.978,2.551,Århus,Denmark,57.05N,10.33E,Whole Year ,Turmeric,1
10.42.0.211-10.42.0.1-35661-53-17,02-02-22,0,61.14126737,4.844985905,Snow,16.671,3.943,Århus,Denmark,57.05N,10.33E,Kharif     ,Arhar/Tur,1
203.130.53.126-10.42.0.151-80-40252-6,03-02-22,0,37.13811867,14.66737122,Cloudy,17.572,2.255,Århus,Denmark,57.05N,10.33E,Kharif     ,Bajra,0
10.42.0.1-10.42.0.42-53-21078-17,04-02-22,0,38.24922363,11.09611905,Cloudy,14.833,3.26,Århus,Denmark,57.05N,10.33E,Kharif     ,Castor seed,1
10.42.0.211-59.38.112.48-33606-443-6,05-02-22,6.886959931,85.46799348,16.91070932,Sunny,11.725,1.047,Århus,Denmark,57.05N,10.33E,Kharif     ,Cotton(lint),0
10.42.0.211-98.139.183.24-60738-80-6,06-02-22,0,85.2706067,8.833359613,Sunny,8.033,7.966,Århus,Denmark,57.05N,10.33E,Kharif     ,Groundnut,1
10.42.0.211-10.42.0.1-8687-53-17,07-02-22,9.764423442,59.7359619,2.180277313,Cloudy,3.284,8.889,Århus,Denmark,57.05N,10.33E,Kharif     ,Horse-gram,0
10.42.0.211-63.250.200.101-47694-443-6,08-02-22,0.484442125,91.29108259,19.99668762,Partly Cloudy,1.664,8.234,Århus,Denmark,57.05N,10.33E,Kharif     ,Jowar,1
10.42.0.1-10.42.0.42-53-56433-17,09-02-22,0,34.36069188,6.592008877,Snow,2.011,6.563,Århus,Denmark,57.05N,10.33E,Kharif     ,Maize,0
10.42.0.151-52.84.134.181-58233-443-6,10-02-22,3.967636242,82.230583,15.59041355,Partly Cloudy,2.887,4.599,Århus,Denmark,57.05N,10.33E,Kharif     ,Moong(Green Gram),0
10.42.0.42-64.71.142.110-59936-443-6,11-02-22,0,57.55227332,7.395335059,Snow,2.684,7.896,Århus,Denmark,57.05N,10.33E,Kharif     ,Niger seed,0
239.255.255.250-10.42.0.1-1900-35615-17,12-02-22,0,41.74176954,18.29365159,Sunny,4.208,2.869,Århus,Denmark,57.05N,10.33E,Kharif     ,Other Kharif pulses,0
10.42.0.151-36.110.213.174-51910-443-6,13-02-22,0,66.99341201,10.3887373,Partly Cloudy,9.351,5.898,Århus,Denmark,57.05N,10.33E,Kharif     ,Ragi,0
172.217.6.206-10.42.0.151-443-50095-6,14-02-22,0,51.43265935,18.97790988,Partly Cloudy,16.632,3.577,Århus,Denmark,57.05N,10.33E,Kharif     ,Rice,1
172.217.10.132-10.42.0.211-443-46084-6,15-02-22,0,62.31384366,15.74937281,Rain,18.103,2.502,Århus,Denmark,57.05N,10.33E,Kharif     ,Sesamum,1
198.11.132.221-10.42.0.211-443-35567-6,16-02-22,0,44.75569039,5.228135287,Partly Cloudy,15.019,10.591,Århus,Denmark,57.05N,10.33E,Kharif     ,Small millets,0
10.42.0.151-10.42.0.1-55284-53-17,17-02-22,1.775404958,42.70061598,4.796449131,Cloudy,13.473,3.869,Århus,Denmark,57.05N,10.33E,Kharif     ,Soyabean,0
209.10.120.26-10.42.0.211-80-53048-6,18-02-22,0,60.36472871,2.097942028,Partly Cloudy,8.355,4.119,Århus,Denmark,57.05N,10.33E,Kharif     ,Sunflower,0
10.42.0.42-123.125.29.138-42421-443-6,19-02-22,3.205456857,63.93358463,12.38199081,Rain,1.251,5.456,Århus,Denmark,57.05N,10.33E,Kharif     ,Urad,1
172.217.6.206-10.42.0.151-443-57343-6,20-02-22,6.580354583,74.80748439,16.27155091,Rain,-0.652,2.805,Århus,Denmark,57.05N,10.33E,Rabi       ,Gram,1
10.42.0.211-106.11.92.14-42224-443-6,21-02-22,0,71.37649837,10.29474781,Rain,-2.442,3.497,Århus,Denmark,57.05N,10.33E,Rabi       ,Groundnut,1
172.217.10.234-10.42.0.151-443-56265-6,22-02-22,0,93.27783699,8.940670011,Sunny,0.857,4.937,Århus,Denmark,57.05N,10.33E,Rabi       ,Horse-gram,1
172.217.10.14-10.42.0.42-443-43588-6,23-02-22,0,93.17142553,19.08419696,Cloudy,1.727,4.201,Århus,Denmark,57.05N,10.33E,Rabi       ,Jowar,1
10.42.0.211-123.125.29.138-59844-443-6,24-02-22,0,90.80957175,19.27434766,Cloudy,7.756,7.117,Århus,Denmark,57.05N,10.33E,Rabi       ,Maize,0
10.42.0.151-106.11.129.144-54645-443-6,25-02-22,3.393589388,60.07414016,9.764368047,Partly Cloudy,10.081,4.089,Århus,Denmark,57.05N,10.33E,Rabi       ,Moong(Green Gram),1
10.42.0.211-87.240.165.91-42263-443-6,26-02-22,0,82.51881593,0.059434125,Snow,16.435,4.667,Århus,Denmark,57.05N,10.33E,Rabi       ,Other  Rabi pulses,0
10.42.0.42-104.192.110.245-45769-80-6,27-02-22,9.781281313,74.34835488,1.072644615,Sunny,20.179,7.554,Århus,Denmark,57.05N,10.33E,Rabi       ,Ragi,0
10.42.0.151-103.7.30.118-35477-80-6,28-02-22,0,47.77566385,0.163702959,Partly Cloudy,16.896,5.377,Århus,Denmark,57.05N,10.33E,Rabi       ,Rice,0
172.217.10.10-10.42.0.211-443-60668-6,29-02-2022,0,56.24796846,11.04037392,Partly Cloudy,12.893,9.281,Århus,Denmark,57.05N,10.33E,Rabi       ,Sunflower,1
10.42.0.211-123.125.115.164-42266-443-6,01-03-22,0,74.99990412,2.14424384,Partly Cloudy,4.851,12.809,Århus,Denmark,57.05N,10.33E,Rabi       ,Urad,0
10.42.0.151-52.54.236.216-46216-443-6,02-03-22,0,65.84133937,8.113829396,Rain,5.123,6.157,Århus,Denmark,57.05N,10.33E,Rabi       ,Wheat,1
10.42.0.211-65.55.118.92-60935-80-6,03-03-22,0.834419252,48.16156112,9.549452246,Snow,0.325,11.445,Århus,Denmark,57.05N,10.33E,Summer     ,Jowar,0
172.217.6.226-10.42.0.211-443-38078-6,04-03-22,0,43.85923237,18.6702228,Snow,-3.154,1.744,Århus,Denmark,57.05N,10.33E,Summer     ,Maize,1
202.77.129.150-10.42.0.211-80-52426-6,05-03-22,0,49.01279158,6.543640963,Cloudy,-1.142,3.545,Århus,Denmark,57.05N,10.33E,Summer     ,Ragi,0
10.42.0.211-54.243.160.133-42435-443-6,06-03-22,3.720135251,65.85952618,19.18843505,Rain,1.188,4.982,Århus,Denmark,57.05N,10.33E,Summer     ,Rice,1
10.42.0.211-123.125.46.161-49630-80-6,07-03-22,4.357935618,88.7934656,2.815331097,Rain,4.075,9.029,Århus,Denmark,57.05N,10.33E,Summer     ,Sunflower,1
10.42.0.211-10.42.0.1-1925-53-17,08-03-22,8.799580896,60.82942586,9.293321989,Partly Cloudy,12.793,6.694,Århus,Denmark,57.05N,10.33E,Whole Year ,Banana,0
10.42.0.211-66.231.239.124-39984-80-6,09-03-22,6.250290497,91.66779561,0.713342591,Partly Cloudy,15.525,5.937,Århus,Denmark,57.05N,10.33E,Whole Year ,Cardamom,1
171.84.4.11-10.42.0.42-80-37250-6,10-03-22,0,71.49230463,6.854284009,Cloudy,15.706,9.589,Århus,Denmark,57.05N,10.33E,Whole Year ,Coconut ,0
172.217.7.227-10.42.0.42-80-45643-6,11-03-22,9.709145673,48.63427144,10.25969346,Rain,16.438,7.794,Århus,Denmark,57.05N,10.33E,Whole Year ,Coriander,0
172.217.10.106-10.42.0.42-443-59692-6,12-03-22,4.28260975,33.13325881,11.34887252,Rain,11.267,3.687,Århus,Denmark,57.05N,10.33E,Whole Year ,Dry chillies,1
172.217.12.195-10.42.0.211-443-49631-6,13-03-22,0,70.21130366,6.246615316,Rain,6.045,13.217,Århus,Denmark,57.05N,10.33E,Whole Year ,Garlic,1
10.42.0.1-10.42.0.42-53-53083-17,14-03-22,6.760755452,31.50956272,18.71391585,Rain,4.106,10.942,Århus,Denmark,57.05N,10.33E,Whole Year ,Onion,0
10.42.0.211-54.88.89.240-46128-443-6,15-03-22,0,57.65782198,3.818276178,Snow,0.121,6.573,Århus,Denmark,57.05N,10.33E,Whole Year ,Sugarcane,1
192.229.173.173-10.42.0.151-443-55883-6,16-03-22,9.125460035,87.23350514,7.559545238,Snow,2.671,7.513,Århus,Denmark,57.05N,10.33E,Whole Year ,Tobacco,0
174.35.73.78-10.42.0.211-80-57853-6,17-03-22,0,79.48368263,12.68801624,Snow,3.162,9.225,Århus,Denmark,57.05N,10.33E,Whole Year ,Turmeric,1
172.217.6.227-10.42.0.42-443-56491-6,18-03-22,0,77.85332648,14.65808204,Snow,3.402,3.972,Århus,Denmark,57.05N,10.33E,Kharif     ,Arhar/Tur,0
172.217.1.163-10.42.0.151-443-33373-6,19-03-22,0,58.15815076,0.778996911,Snow,6.065,6.655,Århus,Denmark,57.05N,10.33E,Kharif     ,Bajra,1
10.42.0.211-10.42.0.1-55402-53-17,20-03-22,0,95.52341882,10.0815407,Cloudy,9.503,3.857,Århus,Denmark,57.05N,10.33E,Kharif     ,Castor seed,0
203.205.179.172-10.42.0.211-80-47721-6,21-03-22,9.029136648,54.55580744,14.08224587,Cloudy,16.363,6.911,Århus,Denmark,57.05N,10.33E,Kharif     ,Cotton(lint),0
216.58.219.227-10.42.0.151-443-57675-6,22-03-22,0,68.4391455,2.120673819,Rain,18.645,5.303,Århus,Denmark,57.05N,10.33E,Kharif     ,Groundnut,0
172.217.12.170-10.42.0.151-443-37468-6,23-03-22,0,30.70065743,3.254090201,Cloudy,17.196,8.176,Århus,Denmark,57.05N,10.33E,Kharif     ,Horse-gram,0
172.217.12.195-10.42.0.151-443-49148-6,24-03-22,0,79.15203123,0.57176786,Snow,12.299,7.154,Århus,Denmark,57.05N,10.33E,Kharif     ,Jowar,0
10.42.0.42-104.97.95.172-38726-80-6,25-03-22,6.861480924,40.86364521,13.12788326,Sunny,8.314,5.691,Århus,Denmark,57.05N,10.33E,Kharif     ,Maize,1
192.229.173.136-10.42.0.42-443-40758-6,26-03-22,0.865136857,51.83981926,5.034114538,Snow,1.885,7.407,Århus,Denmark,57.05N,10.33E,Kharif     ,Moong(Green Gram),1
206.126.112.142-10.42.0.151-443-55880-6,27-03-22,0,53.81496756,10.10653693,Rain,-2.658,11.807,Århus,Denmark,57.05N,10.33E,Kharif     ,Niger seed,0
172.217.11.10-10.42.0.211-443-42578-6,28-03-22,3.256254673,50.03349066,4.013661757,Partly Cloudy,-4.787,5.421,Århus,Denmark,57.05N,10.33E,Kharif     ,Other Kharif pulses,0
10.42.0.211-23.203.49.224-36322-443-6,29-03-22,2.406082958,50.19896959,11.08377748,Sunny,-0.386,3.901,Århus,Denmark,57.05N,10.33E,Kharif     ,Ragi,0
10.42.0.151-52.84.134.158-38845-443-6,30-03-22,0,34.19356077,7.663590749,Rain,0.869,10.897,Århus,Denmark,57.05N,10.33E,Kharif     ,Rice,1
172.217.11.10-10.42.0.151-443-52850-6,31-03-22,0,72.73029033,1.326178779,Snow,5.651,7.83,Århus,Denmark,57.05N,10.33E,Kharif     ,Sesamum,1
10.42.0.151-10.42.0.1-56397-53-17,01-04-22,0,34.82994659,7.97685417,Partly Cloudy,11.112,4.918,Århus,Denmark,57.05N,10.33E,Kharif     ,Small millets,1
140.205.134.25-10.42.0.151-443-38415-6,02-04-22,7.272456791,85.96231657,9.334422301,Rain,16.334,3.109,Århus,Denmark,57.05N,10.33E,Kharif     ,Soyabean,1
180.163.15.184-10.42.0.42-80-58579-6,03-04-22,0,64.44205715,6.08405938,Partly Cloudy,17.21,5.227,Århus,Denmark,57.05N,10.33E,Kharif     ,Sunflower,1
